Title,Authors,Journal/Conference,Year,Citations
Construction and validation of the Lebanese Osteoporosis Knowledge Scale among a representative sample of Lebanese women,"S Hallit, C El Hage, A Hajj, P Salameh, H Sacre, C Rahme, M Akel, ...","Osteoporosis International 31, 379-389",2020,9
"Order of Pharmacists of Lebanon scientific committee-Medication safety subcommittee. Medication safety knowledge, attitude, and practice among hospital pharmacists in Lebanon","S Hallit, A Hajj, P Shuhaiber, K Iskandar, E Ramia, H Sacre, P Salameh","J Eval Clin Pract 25 (2), 323-339",2019,9
Credentialing and recognition of pharmacy specializations: the Lebanese order of pharmacists initiative,"S Hallit, H Sacre, RM Zeenny, A Hajj, G Sili, P Salameh","ACCP Int Clin Pharm 9, 1-2",2019,9
Phenotypes of lung cancer and statistical interactions between tobacco smoking and occupational exposure to asbestos and crystalline silica from a large case-only study: The …,"M El Zoghbi, P Salameh, I Stücker, C Paris, JC Pairon, A Gislard, ...","Lung Cancer 112, 140-155",2017,9
MANAGEMENT OF METASTATIC COLORECTAL CANCER: Current Treatments and New Therapies.,"AM Henaine, G Chahine, P Salameh, E Elias, M Massoud, D Hartmann, ...","Le Journal Medical libanais. The Lebanese Medical Journal 63 (4), 218-227",2015,9
Aspects actuels des infections nosocomiales au Centre Hospitalier Libanais de Beyrouth,"A Al-Hajje, M Ezedine, H Hammoud, S Awada, S Rachidi, S Zein, ...","EMHJ 18 (5), 495-500",2012,9
"Current status of nosocomial infections in the Lebanese Hospital Center, Beirut/Aspects actuels des infections nosocomiales au Centre Hospitalier Libanais de Beyrouth","A Al-Hajje, M Ezedine, H Hammoud, S Awada, S Rachidi, S Zein, ...","Eastern Mediterranean Health Journal 18 (5), 495-501",2012,9
Obesity-associated distress in Lebanese adolescents: an exploratory look at a large cohort of students,"P Salameh, B Barbour","East Mediterr Health J 17 (12), 949-59",2011,9
Validation of the respiratory toxics exposure score (RTES) for chronic obstructive pulmonary disease screening,"P Salameh, G Khayat, M Waked",International journal of occupational medicine and environmental health 24 …,2011,9
Waterpipe smoking in Lebanese women: A lower prevalence but a higher risk of dependence,"P Salameh, G Khayat, M Waked",European Respiratory Journal 38 (Suppl 55),2011,9
"Attachment style and addictions (alcohol, cigarette, waterpipe and internet) among Lebanese adolescents: a national study. BMC Psychol. 2020; 8: 33","L Nakhoul, S Obeid, H Sacre, C Haddad, M Soufia, R Hallit, M Akel, ...",,,9
The impact of financial stress on student wellbeing in Lebanese higher education,"R Nasr, AA Rahman, C Haddad, N Nasr, J Karam, J Hayek, I Ismael, ...","BMC public health 24 (1), 1809",2024,8
Barriers to accessing multiple sclerosis disease-modifying therapies in the Middle East and North Africa region: A regional survey-based study,"M Zeineddine, A Al-Hajje, P Salameh, A Helme, MG Thor, F Boumediene, ...","Multiple Sclerosis and Related Disorders 79, 104959",2023,8
Validation of the specialized competency framework for pharmacists in hospital settings (SCF–PHS): a cross-sectional study,"N Chamoun, E Ramia, H Sacre, M Haddad, C Haddad, A Hajj, ...","Journal of Pharmaceutical Policy and Practice 16 (1), 86",2023,8
Current state of clinical trials on xenograft,"J El Masri, A Afyouni, M Ghazi, T Baroud, D Al Majdalany, A Saleh, ...","Xenotransplantation 30 (3), e12801",2023,8
Developing a national pharmaceutical research strategy in Lebanon: opportunities to bridge the gaps and reach the goals,"M Akel, A Hajj, H Sacre, RM Zeenny, C Haddad, P Salameh","Journal of Pharmaceutical Policy and Practice 15 (1), 83",2022,8
Lebanese medical students’ knowledge on and attitude toward xenotransplantation and its ethical issues: A cross‐sectional study,"S Safi, PC Mansour, T Kaady, A El Kareh, E Mokled, P Salameh","Xenotransplantation 29 (4), e12762",2022,8
The use of the Montreal Cognitive Assessment (MoCA) screening tool to evaluate cognitive deficits in Lebanese in-patients with schizophrenia,"C Haddad, P Salameh, H Sacre, JP Clément, B Calvet","Asian Journal of Psychiatry 70, 103029",2022,8
X-ray microtomographic evaluation of the absolute marginal fit of fixed prostheses made from soft Co-Cr and zirconia,EE Daou,"The Journal of Prosthetic Dentistry 127 (2), 289-294",2022,8
Prevalence of food allergy among schoolchildren in Lebanon,"J Sakakini, C Irani, R Bikai, G Sahyoun, S Hallit, P Salameh, D Dano","International Archives of Allergy and Immunology 183 (6), 611-616",2022,8
Association between cumulative cigarette and Waterpipe smoking and symptoms of dependence in Lebanese adults,"D Malaeb, M Akel, H Sacre, C Haddad, S Obeid, S Hallit, P Salameh","BMC public health 21, 1-9",2021,8
Familial Mediterranean fever research activity in the Arab world: the need for regional and international collaborations.,"E Assouad, S El Hage, S Safi, A El Kareh, E Mokled, P Salameh",EMHJ 27 (10-2021),2021,8
General description of cognitive deficits in schizophrenia and assessment tools in Lebanon: A scoping review,"C Haddad, P Salameh, H Sacre, JP Clément, B Calvet","Schizophrenia Research: Cognition 25, 100199",2021,8
The Arab countries’ contribution to the research of neurodegenerative disorders,"J El Masri, R Dankar, D El Masri, H Chanbour, S El Hage, P Salameh",Cureus 13 (8),2021,8
Validation of the Lebanese medication adherence scale among Lebanese diabetic patients,"L Ibrahim, L Ibrahim, S Hallit, P Salameh, H Sacre, M Akel, R Bou Serhal, ...","International Journal of Clinical Pharmacy 43, 918-927",2021,8
Pharmacists and continuing education: a cross-sectional observational study of value and motivation,"S Tawil, S Hallit, H Sacre, A Hajj, P Salameh","International Journal of Pharmacy Practice 28 (4), 380-389",2020,8
Knowledge and attitudes toward cigarette and narghile smoking among previous smokers in Lebanon,"Z Akiki, D Saadeh, C Haddad, H Sacre, S Hallit, P Salameh","Environmental Science and Pollution Research 27 (12), 14100-14107",2020,8
Cardiovascular diseases and long-term self-reported exposure to pollution: Results of a national epidemiological study in Lebanon,"P Salameh, RK Zeidan, S Hallit, R Farah, M Chahine, R Asmar, ...","Journal of Cardiopulmonary Rehabilitation and Prevention 39 (1), 43-49",2019,8
Validation of the Arabic geriatric depression scale (GDS-5) among the Lebanese geriatric population,"S Hallit, R Hallit, C Boulos, D Hachem, MCD Nasra, N Kheir, P Salameh","Journal of Psychopathology-Giornale di Psicopatologia 23 (2), 87-90",2017,8
"Asthme, pollutions intérieure et extérieure: étude pilote chez des adolescents libanais scolarisés","P Salameh, C Karaki, S Awada, S Rachidi, A Al Hajje, W Bawab, N Saleh, ...","Revue des Maladies Respiratoires 32 (7), 692-704",2015,8
Effets sanitaires aigus de l'exposition aux pesticides en milieu rural: étude dans un pays du nord: étude PhytoRiv: étude dans un pays du sud: PhytoNiger,A Mamane,Université de Bordeaux,2015,8
Is waterpipe smoking a gateway to cigarette smoking among youth,"S Pascale, Z Rony, A Edwina, S Joseph, W Mirna, B Barbour, Z Nina, ...","Journal of Addictive Behaviors, Therapy & Rehabilitation 4",2015,8
Evaluation of hip fracture risk factors in older adults in the Lebanese population,"W Bawab, M Saad, N Hajjar, S Rachidi, A Al Hajje, S Awada, P Salameh","J Res Health Sci 14 (3), 193-7",2014,8
Value of venous color flow duplex scan as initial screening test for geriatric inpatients with clinically suspected pulmonary embolism,"R Kreidy, E Stephan, P Salameh, M Waked","Vascular Health and Risk Management, 585-589",2011,8
Hair lead concentration in the Lebanese population: phase 1 results.,"P Salameh, N Bouchy, A Geahchan",Eastern Mediterranean health journal 14 (4),2008,8
"Environmental noise in Beirut, smoking and age are combined risk factors for hearing impairment.","E El Zir, S Mansour, P Salameh, R Chahine",Eastern Mediterranean Health Journal 14 (4),2008,8
Growth and obesity in Lebanese private schools children,"H Chakar, P Salameh","Lebanese Medical Journal 55 (2), 75-82",2007,8
Methacholine challenge test: correlation with symptoms and atopy.,"M Waked, P Salameh, R Attoue, N Khoury, J Bahous","Le Journal medical libanais. The Lebanese medical journal 51 (2), 74-79",2003,8
Artificial intelligence: knowledge and attitude among Lebanese medical students,"OA Daher, AA Dabbousi, R Chamroukh, AY Saab, AR Al Ayoubi, ...",Cureus 16 (1),2024,7
Evaluating the academic scientific laboratories' safety by applying failure mode and effect analysis (FMEA) at the public university in Lebanon,"I Nasrallah, I Sabbah, C Haddad, L Ismaiil, J Kotaich, P Salameh, ...",Heliyon 9 (12),2023,7
"Knowledge, attitude, and practices of the General Population toward the Old-New Outbreak of Cholera in a developing country","M Akel, F Sakr, C Haddad, A Hajj, H Sacre, RM Zeenny, J Safwan, ...","Tropical Medicine and Infectious Disease 8 (4), 236",2023,7
Sarray El Dine,"D Malaeb, H Sacre, S Mansour, C Haddad","A., Fleihan, T., Hallit, S., Salameh, P., & Hosseini, H",2023,7
"Knowledge of epilepsy, quality of life, and psychiatric comorbidities in Lebanese adults with epilepsy","Z Tarhini, J Jost, V Ratsimbazafy, PM Preux, P Salameh, A Al-Hajje, ...","Epilepsy & Behavior 136, 108924",2022,7
Public views of community pharmacy services during the COVID-19 pandemic: a national survey,"AW Bou-Saba, KM Kassak, PR Salameh","Journal of Pharmaceutical Policy and Practice 15 (1), 76",2022,7
Current state of clinical trials regarding lung transplant rejection,"R Rifi, M Matar, M Ghazi, C Abboud, J El Masri, D Al Majdalany, ...","Transplant Immunology 74, 101668",2022,7
Association between impulsivity and healthy orthorexia: any moderating role of personality traits?,"E Awad, P Salameh, H Sacre, D Malaeb, S Hallit, S Obeid","Psychology, Health & Medicine 27 (8), 1832-1841",2022,7
Evaluating the feasibility and pretesting the impact of an educational and telemonitoring program for COPD patients in Lebanon,"RG Nohra, T Chaaban, H Sacre, P Salameh, Z Aoun Bacha, ...","International Journal of Chronic Obstructive Pulmonary Disease, 949-965",2022,7
Kidney cancer trends and risk factors in Lebanon: a 12-year epidemiological study,"E Assouad, S El Hage, S Safi, A El Kareh, E Mokled, P Salameh","Cancer Causes & Control, 1-10",2022,7
The Lebanese experience for early career development: Bridging the gap to reach the International Pharmaceutical Federation (FIP) Global Competency Framework,"A Hajj, RM Zeenny, MG Akel, H Sacre, PR Salameh",International Pharmaceutical Federation,2022,7
"Screen time effect on insomnia, depression, or anxiety symptoms and physical activity of school students during COVID-19 lockdown in Lebanon: a cross sectional study","BT Abou Ali, NO Saleh, HW Mreydem, SF Hammoudi, T Lee, S Chung, ...","Sleep Medicine Research 12 (2), 101-109",2021,7
Preconception exposure to over-the-counter medications and antibiotics and the risk of childhood asthma in Lebanon: A cross-sectional study,"D Malaeb, S Hallit, H Sacre, C Rahme, B Malaeb, R Hallit, P Salameh","Allergologia et Immunopathologia 49 (2), 104-112",2021,7
Development of a diagnosis score for stroke in the Lebanese population,"M El-Hajj, P Salameh, S Rachidi, A Al-Hajje, H Hosseini","Clinical Epidemiology and Global Health 7 (1), 79-87",2019,7
Pharmacie clinique et thérapeutique,"S Limat, A Dupuis, P Fagnoni, B Demoré, C Fernandez, G Aulagner, ...",Elsevier Health Sciences,2018,7
Body image dissatisfaction and psychological distress among adults with excessive body weight,"L Abou Abbas, Z Nasser, P Salameh, Z Mansour, L Abou Abbas, ...","International journal of health science and research 8 (4), 3-10",2018,7
Nutritional status of the elderly in an arab country in social transition: The case of Lebanon,"C Boulos, SM Adib, R Mitri, P Salameh","Handbook of famine, starvation, and nutrient deprivation: From biology to …",2017,7
Body mass index and psychological distress among Lebanese University students: examining the moderating effect of gender,"L Abou Abbas, P Salameh, W Nasser, Z Nasser, I Godin","International journal of adolescence and youth 21 (3), 332-340",2016,7
Assessment of dietary intake patterns and their correlates among university students in Lebanon. Front Public Health 2014; 2: 185,"P Salameh, L Jomaa, C Issa, G Farhat, J Salamé, N Zeidan, I Baldi",Published online,2014,7
Le circuit du médicament dans les hôpitaux libanais,"P Salameh, MN Aad, M Semaan, R El Hawzi, M Bechara, B El Kadi, ...","Revue d'épidémiologie et de santé publique 55 (4), 308-313",2007,7
Obesity in Lebanese private schools adolescents,"H Chakar, P Salameh","European Journal of Public Health 60, 2-7",2006,7
"& Soufia, M.(2019). Knowledge, attitude and behaviours towards patients with mental illness: Results from a national Lebanese study","C Abi Doumit, C Haddad, H Sacre, P Salameh, M Akel, S Obeid","PloS one 14 (9), e0222172",,7
Non–Skin Related Symptoms Are Common in Chronic Spontaneous Urticaria and Linked to Active and Uncontrolled Disease: Results From the Chronic Urticaria Registry,"P Pyatilova, Y Hackler, F Aulenbacher, R Asero, A Bauer, M Bizjak, C Day, ...","The Journal of Allergy and Clinical Immunology: In Practice 12 (7), 1890 …",2024,6
Risk factors for uncontrolled blood pressure among individuals with hypertension on treatment: the CONSTANCES population-based study,"M Cherfane, A Vallée, S Kab, P Salameh, M Goldberg, M Zins, J Blacher","International journal of epidemiology 53 (2), dyae027",2024,6
Self-perceived leadership and entrepreneurship skills: profiling healthcare professionals,"H Sacre, K Iskandar, C Haddad, M Shahine, A Hajj, RM Zeenny, M Akel, ...","Journal of Pharmaceutical Health Services Research 15 (1), rmad050",2024,6
Adherence to good pharmacy practices by community pharmacies in Lebanon and opportunities for quality improvement: it is time to act,"A Bou-Saba, KM Kassak, P Salameh","Integrated Pharmacy Research and Practice, 25-35",2023,6
Working together for patient health: Assessing interprofessional competencies among healthcare professionals in Lebanon,"I Fahs, M Akel, C Haddad, H Sacre, A Hajj, RM Zeenny, K Iskandar, ...","Journal of Interprofessional Education & Practice 32, 100630",2023,6
